,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
36093,lsmdc3059_SALT-28705,14680,Someone turns to his aide. Someone,Someone turns to his aide.,Someone,gold,spots a picture on the window.,points after someone and walks off.,steps onto the pillar beside someone.,scowls at the security monitors.,3
68636,anetv_TomBet77rDc,17585,He bends down and lifts a large weight over his head. He,He bends down and lifts a large weight over his head.,He,gold,positions the machine again and does several leg extensions.,drops the weight down onto a mat.,spins around many times and moves off the while.,finishes to the end and looks back up making sure we don't faint.,1
28041,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86412,12487,He has tattoos over his torso. He,He has tattoos over his torso.,He,gen,is inhaling and blowing rings.,has the picture over his eye.,raises his hands and made out his teeth.,is some shaving cream on his face.,0
25195,lsmdc0006_Clerks-48706,19096,"Someone crosses back to his post, as someone enters, tossing the key into the air happily and catching it. He","Someone crosses back to his post, as someone enters, tossing the key into the air happily and catching it.",He,gold,gestures to the weights and looks down to see the end result.,bursts out and slips the pearl out of his leather pouch.,picks the cat up.,groans as another chopper on the ramp steps over the bridge.,2
58421,anetv_0ZHZ1ZqmT7s,15872,Man is combing a kid's hair in a hair saloon. man,Man is combing a kid's hair in a hair saloon.,man,gen,is in wrapping and has a yellow jacket.,talks to the camera about brushing her hair behind her razor.,is standing in front of a row in front of a man.,is in a room watching a man doing snow.,1
67953,lsmdc1050_Harry_Potter_and_the_deathly_hallows_Disk_One-94148,13366,"Her face solemn, she takes both his hands and pulls herself up. Someone","Her face solemn, she takes both his hands and pulls herself up.",Someone,gold,puts his arms around her neck.,leans back to the edge of the bed.,shakes her head incredulously.,watches him with a smokey - shaped face.,0
47329,anetv_ABmZdlZEZOY,8494,An intro leads into several shots of divers moving around the ocean and passing various fish and items under water. The diver,An intro leads into several shots of divers moving around the ocean and passing various fish and items under water.,The diver,gen,flies onto the board several times and then dives into the water with different people speaking in front of the camera.,goes to the water and swims in and out of the water as well as moving himself up and down.,continues drawing their hands in the air and ends with more clips of people surfing.,pours water into another hand and leads people closer to the board.,1
32565,lsmdc0021_Rear_Window-59102,246,"She looks up briefly at someone. When she realizes he is asleep, she",She looks up briefly at someone.,"When she realizes he is asleep, she",gold,puts down the travel book and reaches for the latest copy of someone's bazaar.,looks up at him then locks eyes with him.,"gets out, goes after him, then walks into the bedroom.","flips him off and slams his hands shut, but not with hands.",0
9076,lsmdc1026_Legion-5594,12527,"His back has been burnt off. In the storeroom, someone",His back has been burnt off.,"In the storeroom, someone",gold,crawls from underneath the yard.,watches someone's trunk hang under cast at an fractured tree.,lies under a white sheet.,copies other cash and some cash.,2
7196,lsmdc1002_Harry_Potter_and_the_Half-Blood_Prince-72789,2923,Someone sharpens a knife against a rock. He,Someone sharpens a knife against a rock.,He,gold,picks to another hand to lab.,arrives at a bridge where a governor's sea zips up.,pierces his right hand with the knife.,beats out the blade.,2
24430,lsmdc3042_KARATE_KID-18996,12923,"Before him, two, red, wooden doors stand open, revealing a pair of inner doors upholstered in dark - green leather. Someone","Before him, two, red, wooden doors stand open, revealing a pair of inner doors upholstered in dark - green leather.",Someone,gold,emerges a few scrambled eggs.,steps onto the dance floor as someone talks from someone to someone.,crosses to a window separating the lobby from the house.,"lifts the door's pipe, and someone pestle its orange wand into her forehead.",2
59687,anetv_GD9SfOn3irM,16799,The person chases and calf and ropes him up while walking away. Several more shots,The person chases and calf and ropes him up while walking away.,Several more shots,gold,of horse riders and in more beginning being seen.,are shown of walking away and ends with several people working out on the sides.,are shown of people chasing cattle in after riding on a horse.,are shown of people running performing tricks with the man by throwing it along the side.,2
4153,anetv_qoSn8oUMBSE,17413,The men then begin playing a game of soccer and kicking the ball around the field. Several shots,The men then begin playing a game of soccer and kicking the ball around the field.,Several shots,gold,are shown of people scoring goals as well as others celebrating and holding one another.,are shown of the players getting ready for the ball while others walk watching.,are shown of the rope shown throw stick as well as hitting goals and celebrate against one another.,are then shown of people playing dodgeball as well as people walking and looking around.,0
40581,anetv_YrMrSXH8k6k,6971,The man continuously sparks with the machine on a piece of metal. He,The man continuously sparks with the machine on a piece of metal.,He,gold,continues hitting the objects all around the room.,stops in the end while taking off his mask and looking into the camera.,uses a tool to remove the tire from the car.,puts the tool on and then displays a fire extinguisher and lifts it out while bending over.,1
44708,lsmdc3004_500_DAYS_OF_SUMMER-1720,4818,He's chalked architectural firms names on his wall. He,He's chalked architectural firms names on his wall.,He,gold,moves into someone 'office.,jams one finger on the horn.,opens a newspaper album and takes the photos.,chalks lines through four more.,3
69303,anetv_NIY1f2KcEe0,9261,Smoke goes everywhere as he pushes it back and forth. The camera,Smoke goes everywhere as he pushes it back and forth.,The camera,gen,zooms into the screen.,focuses to the window and are still reflected in the ceiling.,looks up at him.,keeps following him as a large piece of metal rocks the limousine.,0
69715,lsmdc1050_Harry_Potter_and_the_deathly_hallows_Disk_One-93596,18398,"The flask is passed to someone, then someone, and finally, someone. They all","The flask is passed to someone, then someone, and finally, someone.",They all,gen,enter an alley where they fall at an indian outdoor club.,"look up at the rest of the band, including someone.",have drinks in their hands.,sit as someone straightens and turns to his watch.,3
572,lsmdc1045_An_education-90268,9694,Someone turns and walks out. Someone,Someone turns and walks out.,Someone,gold,wears a knit look.,walks down a corridor carrying her blazer and satchel.,"shakes his head, then prepares a full time.",", someone in his arms, looks stunned.",1
3416,lsmdc3021_DEATH_AT_A_FUNERAL-1439,10051,Someone watches with an awed grin. Someone photos,Someone watches with an awed grin.,Someone photos,gen,are endless from between them.,reflects the torrential downpour.,cheer as spectators follow.,explodes on someone's hands.,1
2242,lsmdc3078_THE_WATCH-36279,1538,The alien's eyes snap open. It,The alien's eyes snap open.,It,gold,lowers his binoculars to shovel someone's sight - back to it.,throws someone into a jukebox and sends someone flying.,stretches out their ceramic hands.,rubs an ankle at the right.,1
56922,lsmdc1003_How_to_Lose_Friends_and_Alienate_People-73340,1198,"He glances about furtively, then opens it and starts to read. He","He glances about furtively, then opens it and starts to read.",He,gen,"closes it, aside from his video of tiny mice.","returns to his desk and halts, looking up from his paperwork.",runs towards it and nods to himself.,looks exactly around her.,1
39293,anetv_UKo5IFacUyE,18746,The person shines her right boot in the electric buffer machine. The person,The person shines her right boot in the electric buffer machine.,The person,gen,uses the brush to polish the shoe quickly.,is using a large tool in areas of the metal.,vacuums the white carpet.,switches using some pressurized cloak.,0
36945,lsmdc1038_The_Great_Gatsby-87317,7530,Someone circles the cottage in a bright - yellow someone coupe. The open - topped car,Someone circles the cottage in a bright - yellow someone coupe.,The open - topped car,gold,"lurches to a halt in the distance followed by people, walking along pavement.",has white - wall tires and four chrome side pipes curling down from the engine.,hits traffic and bounces off of the van.,takes 14 but bikers reach the truck summit on the highway.,1
2637,lsmdc3006_A_GOOD_DAY_TO_DIE_HARD-3168,6052,"Moving forward, they approach two masked guards, both facing the roof's edge. Someone","Moving forward, they approach two masked guards, both facing the roof's edge.",Someone,gen,"gets over cautiously, stops them in the basement.",places the typewriter on the heavyset thug's hood.,stands up and attacks him.,catches someone's hand in scruff and points into someone's mouth.,2
31841,lsmdc3023_DISTRICT_9-10971,13399,He leans toward someone's son. His eyes,He leans toward someone's son.,His eyes,gen,are wide with fear as the distant lamps shine.,fixed on his trunk.,descend toward the boat.,shift at someone grins whose eyes remain wide open.,0
26098,lsmdc0001_American_Beauty-46102,10026,"Someone moves stiffly and seems preoccupied, slightly disoriented. Someone just","Someone moves stiffly and seems preoccupied, slightly disoriented.",Someone just,gold,"stares at him, then, sadly.","stands there, looking at someone.",sees his hovering shot headed nearer the rear of the desk.,stares at the bottle as he peers at the twinkie photo.,1
12488,anetv_7H4-gDM3r0w,4373,The two individuals shake hands. A splash screen with a company logo and a map,The two individuals shake hands.,A splash screen with a company logo and a map,gold,is shown inside a screen.,is displayed on a skillet.,"are shown again, briefly interspersed with the two individuals talking.",shows impressive footage about 10 lanes of goals in the water.,2
68951,anetv_BJ9r8_JnG0k,12440,The man then shows how to work the monkey bars in multiple ways. Then the trainer,The man then shows how to work the monkey bars in multiple ways.,Then the trainer,gen,put the skateboard on the machine back to do horizontal exercises on the monkey bars.,talks about the class part she practices.,tells a little bit tango as he tightens two ups on the bars.,uses the place to lift the legs of the bars.,1
14515,anetv_2tlLq9qvG-c,4312,"After cooling the dough, she takes it out and cuts them into rectangular pieces. She","After cooling the dough, she takes it out and cuts them into rectangular pieces.",She,gold,cuts the fabric and ads them chocolate ice inside.,shows the finished cake to cut with butter and a half of it.,"tastes a, adds chocolate, and creates a bowl.",places the raw cookie on a cookie sheet and bakes them.,3
46499,anetv_IKhLjVIYisg,2115,A close up is shown of a cracked asphalt road. Then we,A close up is shown of a cracked asphalt road.,Then we,gold,see a name in the distance.,"see a man walking, carrying a pair of inline skates.",see the man through the fence at the roof.,see the judges and people move in and out of frame.,1
25274,anetv_-UWE4jXuLoo,5047,"A boy is balanced on a board, then shows several moves and stunts as he moves around a skate park. He","A boy is balanced on a board, then shows several moves and stunts as he moves around a skate park.",He,gold,"jumps, flips, ramps, and performs several moves.",begins moving his hips up and down on the music bar back and out another window.,jumps over a pole when he lifts off.,then rides around a bunch of large cones in the raft.,0
3420,lsmdc3021_DEATH_AT_A_FUNERAL-1439,10049,It opens and someone sits up. Someone,It opens and someone sits up.,Someone,gen,sings in his living room.,"hands a bottle to someone, who eyes it in a lit shotgun.",rushes from the cabin and hurls him out to the ocean.,gently takes someone's hand.,3
1133,anetv_n3wYcW4mnrs,3141,We see an opening screen on white. We then,We see an opening screen on white.,We then,gen,see a woman in gray in white boxing.,see two sumo wrestling men.,see three conducts making dance on the floor.,see opening title screens.,3
40378,anetv_sY8TfKQHe5w,10298,"A commercial advertising a pumpkin cutter, a pumpkin knife, and a pumpkin light is shown using a family of two boys and one mother preparing pumpkins for the demonstration. A little boy","A commercial advertising a pumpkin cutter, a pumpkin knife, and a pumpkin light is shown using a family of two boys and one mother preparing pumpkins for the demonstration.",A little boy,gold,is shown using a pumpkin cutter to cut faces into a pumpkin.,"in white applied the racket and the young man is now talking and the other man is a woman and a black top brush,","stands in the snow, and stands in a dark tunnel, with a grave care in his hand and then a black whistle.",goes over to us and grabs something from a hatch and of other men about tools are used.,0
12545,anetv_9DVsv84awMg,16187,The word Fehlstart appears on screen. People,The word Fehlstart appears on screen.,People,gen,are in a roofed and hits a rope down a rope ring.,are talking on an enclosed japan bench front.,are seen in a beach near a lake.,are shown doing some trick.,3
29533,anetv_fzp5ooc727c,16989,"He then bends down and grabs a ball. After, the ball is placed on the ground and he",He then bends down and grabs a ball.,"After, the ball is placed on the ground and he",gold,whips it down and then used to put the pinata back on the ground.,serves the misses with it.,picks it up and hits it as if he's playing baseball.,hits the ball several times to measure it.,2
11944,anetv_50oy8wP2Wo8,11047,The lady turns around and smiles. We,The lady turns around and smiles.,We,gold,see a before and after.,see a lady in the audience.,see the pancake shaped craft.,see the credits of the video.,0
37678,anetv_Ga-204sSRoc,9435,A man is seen kneeling of a roof while holding a piece of wood. He,A man is seen kneeling of a roof while holding a piece of wood.,He,gold,continues the object around the fence and ends by spraying off the camera.,then sprays it down on a rag and climbs up the wall.,begins hammering down the piece of wood while the camera pans around.,takes a leaf off the tree and heats it on the cloth.,2
69532,lsmdc0004_Charade-47314,4110,Someone sticks his head out of the taxi window. Someone,Someone sticks his head out of the taxi window.,Someone,gold,pulls into the parking lot and gives the receptionist a glance.,"looks at someone, surprised.",rides their luggage towards a war crowd.,leads a ballerina out of his house.,1
13243,lsmdc3002_30_MINUTES_OR_LESS-976,16839,Fighting tears he holds a towel to his neck and hurries out. Someone,Fighting tears he holds a towel to his neck and hurries out.,Someone,gen,cuts the scarf and walks off the horse into the entrance.,outlines a metal fork in a dimly lit room.,"walks over to someone's desk and resumes packing up, then walks on, then stops to hug someone.",rest workers as landscape - stained in rivendell.,2
26130,lsmdc3037_IRON_MAN2-16401,3871,"Later wearing a blue car - racing uniform, someone walks through a crowd of smiling people. He","Later wearing a blue car - racing uniform, someone walks through a crowd of smiling people.",He,gen,walks over to his desk.,gravely scans the area anxiously.,run from the stage.,stops the boy's seat.,1
52536,lsmdc3081_THOR-37650,17938,Someone pulls his fur coat tighter around himself as fierce winds blow the falling snow nearly horizontal. A pair of twin towers,Someone pulls his fur coat tighter around himself as fierce winds blow the falling snow nearly horizontal.,A pair of twin towers,gen,looms down in a rock formation.,are wider and oncoming bull parries kicking.,rise horizontally above the chain - shaped castles.,and letters fly along hooded streets.,2
45405,lsmdc1026_Legion-5666,9287,Someone smashes the driver's window. He,Someone smashes the driver's window.,He,gold,"grabs her hand, yanks her out.",moves to someone who stands on someone's sidewalk after the show.,"sits in a lit room from someone, talking to the radio.",hands it to her.,0
38875,anetv_S5kuckj4Ud4,10188,We see a black title screen. We see are driving down the street then we,We see a black title screen.,We see are driving down the street then we,gen,see a group of people riding bikes.,see a girl playing a car with the extended photo.,see them running to disappear down the road.,see men playing badminton.,0
7944,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-1660,16373,"She looks, confused, at a gramophone. She","She looks, confused, at a gramophone.",She,gold,is about to dance.,is on a desk in a theater.,women give her a kiss and then stop.,picks up the record.,3
49203,lsmdc3052_NO_STRINGS_ATTACHED-25311,17676,Someone lies on his side with his arms around someone. She,Someone lies on his side with his arms around someone.,She,gen,maintain their grips hold pumped and turn uphill.,lifts his brow and gives a nonchalant shake of the head.,is slipping out of the cab.,tentatively places her head on someone's shoulders.,3
17742,anetv_YTdLk7Nsn_k,9422,A bicycle repair man describes how to remove the bike crank from the bicycle. The repair man,A bicycle repair man describes how to remove the bike crank from the bicycle.,The repair man,gold,removes the pedal and the lock nut from the crank.,is shown the instruction starting on the trash machine.,wheels himself around some foot exercises.,takes off as he screws off of the bike and puts inside the engines.,0
45863,lsmdc3074_THE_ROOMMATE-3876,15824,"Across the room, someone hangs up drawings. Turning, she","Across the room, someone hangs up drawings.","Turning, she",gen,finds her father staring into space.,finds a man wearing her dressing gown.,finds someone sitting on the bed.,sees a woman wearing a clear white blouse.,0
67036,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31455,11095,"He picks up the thin metal tube lying against the floor molding. Moving to a lamp, someone",He picks up the thin metal tube lying against the floor molding.,"Moving to a lamp, someone",gold,puts it on his back.,slowly forms a small metal room full of keys from rotating walls.,"unscrews the tube, opens it and pulls out a slip of paper.",stands in front of him as he stumbles down the stairs.,2
16765,lsmdc1010_TITANIC-77345,13000,"Someone steps to the settee, then stretches out on it. Someone","Someone steps to the settee, then stretches out on it.",Someone,gold,drapes one arm along the back of the settee.,"places his tongue in her mouth then slides his fingers around her mouth, teases it with hers.",lowers the wire from someone and steps away from the window.,"seems completely naked, lying in bed in the shape of the bed.",0
18589,anetv_MuOkEmd4Gp0,4885,The bikers continue doing their stunts as they go over hilly terrain and hilltops. The winners of the race,The bikers continue doing their stunts as they go over hilly terrain and hilltops.,The winners of the race,gold,smiles and laugh together as the children look on her back.,are getting ready for race on the scene.,are shown before a white group of people appears on wall screen and flashes to the television.,are awarded trophies and certificates.,3
60400,lsmdc1026_Legion-5521,17325,She looks apprehensive as someone approaches. Someone,She looks apprehensive as someone approaches.,Someone,gen,touches someone's temple.,turns to a hole in the wall.,is silhouetted against the rocking chair.,downs a drink of his wine.,3
63263,anetv_E-6XZrDYRuM,12975,There is then a showcase of horses jumping over obstacles. One of the pictures rotates around in a circle and the next video,There is then a showcase of horses jumping over obstacles.,One of the pictures rotates around in a circle and the next video,gen,soars over the location atop the region.,starts showing a little group of relay talking in between players.,shows the talking logo as the stands.,goes the same steps.,0
58782,anetv_r1x3hjFWGYM,3732,The man smiles and we see his face. We,The man smiles and we see his face.,We,gen,see his title as people get into rafts on a boat.,see the man run.,are then standing in the high opening screen.,see the image credits.,3
47450,lsmdc0038_Psycho-67288,14297,"The fury suddenly dies, abruptly and completely, and he sinks back into his chair. Someone","The fury suddenly dies, abruptly and completely, and he sinks back into his chair.",Someone,gold,is now exasperated and ordered.,looks back and smiles back at someone.,"watches the troubled man, is almost physically pained by his anguish.","faces the other men, then stands.",2
54137,lsmdc3013_BURLESQUE-4966,15586,"As the other girls look on, she opens the present. Someone","As the other girls look on, she opens the present.",Someone,gold,shakes someone's coat.,marches over and grabs the card.,makes his way down a flight of stairs between the grand staircase and slides in a curtain.,stares at the skyline.,1
39778,anetv_9ut_IDtfVzY,17007,A man and woman are trying to spray paint bike parts light green. The man,A man and woman are trying to spray paint bike parts light green.,The man,gold,moves to a large section of the roof.,throws several other shingles at him.,stands and starts getting on all the rug in a driveway.,holds the parts still while the woman sprays them.,3
52153,lsmdc3090_YOUNG_ADULT-44208,458,Someone walks into his house. Someone,Someone walks into his house.,Someone,gold,opens the doors and climbs someone into the hallway.,shuts the door then follows her into his bedroom.,reaches out and takes a handful of candy suds.,sinks to his knees and shakes his head.,1
10729,anetv_xcI2e5T_BL0,2321,A man is scooping out the inside of a watermelon. He,A man is scooping out the inside of a watermelon.,He,gold,"stops a rat from a hole, then cooks the piercing.",fills the sail with a gold balloon.,eats a piece of the watermelon.,eats a bottle from a gasoline can.,2
71453,lsmdc3028_GHOST_RIDER_SPIRIT_OF_VENGEANCE-12779,18671,"At the boom's opposite end, armed guards keep watch on a balcony on the excavator's base structure. The trucks","At the boom's opposite end, armed guards keep watch on a balcony on the excavator's base structure.",The trucks,gold,"row through the gates of the great wing, moving together all very small in the large sarcophagus.",are loaded with guns abandon and stolen garbage.,pull into an area surrounded by towering stacks of shipping containers.,"drop to the ground, tilting up, and rushes out into the night, narrowly missing an suv.",2
63229,lsmdc0032_The_Princess_Bride-66120,14651,"Behind him, half a dozen armed warriors, also mounted. Someone is all over the rocky ground, and maybe he","Behind him, half a dozen armed warriors, also mounted.","Someone is all over the rocky ground, and maybe he",gold,is most partially lost.,is trapped in the middle of the table and leaving people sitting behind him.,is n't the best hunter in the world.,is very good to push off like a mouse truss bridge.,2
30201,lsmdc3052_NO_STRINGS_ATTACHED-25274,5927,She gets in her car. A neighbor,She gets in her car.,A neighbor,gold,opens the hoses into a bucket.,walks up with his dog.,swings and helps pulls a cabinet.,blows out a cigarette.,1
51014,lsmdc1035_The_Adjustment_Bureau-86071,5858,Someone's jaw drops and she stares helplessly. Going back to the door they,Someone's jaw drops and she stares helplessly.,Going back to the door they,gold,find three intervention officers on their way up.,"prop the hand on someone's cleavage, and someone manages to laugh.",make out the front steps.,hear a panicking noise behind her.,0
58758,anetv_UJwWjTvDEpQ,5299,A kid is talking while holding a guitar. He,A kid is talking while holding a guitar.,He,gold,begins to play the saxophone as he plays his guitar.,sits with another group in front of it.,begins to play the guitar.,laughs as they keep dancing.,2
12810,lsmdc1026_Legion-5218,17095,"Under a skylight, he steps on a toy. He","Under a skylight, he steps on a toy.",He,gold,slides across the surface.,"sways on the ceiling, turning off the lights and open.",bends down and picks it up.,"speeds out of the circle, and pulls up towards it.",2
9125,anetv_2SKZB0bfqF8,17707,"We see the Snow helper, then see it in action. We","We see the Snow helper, then see it in action.",We,gold,see kids climbing over the fence.,see a child do a flip.,see the title screen in a boarding car.,are shown a shovel with it attached.,3
19188,lsmdc0010_Frau_Ohne_Gewissen-51299,15584,"Ten or twelve cars are parked diagonally, not crowded. The train is not in yet, but there","Ten or twelve cars are parked diagonally, not crowded.","The train is not in yet, but there",gold,are more people dancing on stage.,'s no sign of someone speaking to someone.,are people speaking on the streets.,is activity around the station.,3
421,anetv_YW3mCNKVaa4,17991,A view is shown of steep mountain snow. Skiers,A view is shown of steep mountain snow.,Skiers,gen,are in a gym surrounded by groups of the people.,stand in the barn and ready for the middle of the race.,rider shows up to the bottom of an mountain.,are displayed in the snow.,2
1363,lsmdc1001_Flight-71928,10388,They approached a burly man. Someone,They approached a burly man.,Someone,gen,comes down library stairs.,pours two mugs of beer.,talks to a group of friends on a bench.,sits up on his knees.,1
70320,anetv_pYYA4rARL1Y,18663,We see a man throwing his legs over the pommel horse. We,We see a man throwing his legs over the pommel horse.,We,gold,see the flips and flips and the clips.,see a lady holding onto a log support.,see a man in red spinning himself around the pommel horse quickly.,see six ladies in the park.,2
9101,lsmdc0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING-61355,16992,Someone wheels around on shadowfax. Someone,Someone wheels around on shadowfax.,Someone,gold,shoots into a fireplace.,"reels forward, escaping to the ground.",locks up with his tactical team.,pulls someone onto shadowfax.,3
21909,anetv_8hrRE3_sWXo,12423,We then see a man coaching a man in a garage and talking to the camera. The man in gray,We then see a man coaching a man in a garage and talking to the camera.,The man in gray,gen,throws an object off into the distance.,walks past the camera while the cleaner man cleans the wood with a brush.,takes a welding back into a crate.,talks to the camera and a caption and the sky is shown.,1
33299,lsmdc3067_THE_ART_OF_GETTING_BY-32254,19343,He smiles at his work. Later on a quiet street someone and someone,He smiles at his work.,Later on a quiet street someone and someone,gold,walk together following the others.,walk up into a command courtyard.,pull around the rusty metal.,sit across a gravel driveway.,0
6211,anetv_Sbgh1UQcG24,7348,The man re - equips the knife and resumes chopping. The man,The man re - equips the knife and resumes chopping.,The man,gold,removes the knife and manipulates the ingredients around him again.,serves the sandwich again.,places the knife on the slice of bread and cuts it together evenly.,adds a toothpick to the stove and cuts it.,0
31912,lsmdc1005_Signs-4608,12652,Someone feeds the parking meter. And someone,Someone feeds the parking meter.,And someone,gold,holds his hand out to someone.,sits at a large overlooking in the yard of a well - lit brick wall.,hands him a glass of beer.,"glances up at his brother, who hauls the sandwich up and slams it in his face.",0
31043,lsmdc1006_Slumdog_Millionaire-74036,16398,Someone appears on the platform. She,Someone appears on the platform.,She,gold,watches the cheering men.,climbs out of the carriage.,walks her to a corner ignoring him.,is looking around her.,3
50847,lsmdc3089_XMEN_FIRST_CLASS-42538,7360,The owner crosses to a desk. He,The owner crosses to a desk.,He,gen,"comes back into outer, shooting out boxes from a store near a open trapdoor.","sticks it at a wheel, then flips a few switches.",taps a newspaper man then sits down on his coffee table and sets the tv down.,pauses as he readies the lock.,2
47563,lsmdc0009_Forrest_Gump-50412,8493,He lies down on the dirt road and crawls. Someone,He lies down on the dirt road and crawls.,Someone,gold,"holds up his hand, motioning that he does n't know.",looks over at the boy who moves his mower.,is standing behind one of the bush.,rides in the suv.,0
2878,lsmdc3084_TOOTH_FAIRY-40316,9997,He leans toward someone with puckered lips but she gracefully recoils. He,He leans toward someone with puckered lips but she gracefully recoils.,He,gen,looks at the young man then sees a cactus bar sticking out of the courtyard.,raises his brow stretching and dictates.,grabs hold of her wrists.,meets someone's gaze and keeps her eyes focused on the monitor.,2
55047,lsmdc0029_The_Graduate-64125,16458,"Someone holds one of the doors open for them and stands politely to one side. As they get through, someone",Someone holds one of the doors open for them and stands politely to one side.,"As they get through, someone",gen,glances around the suv.,rocks slowly and slides her driver's wheel by again.,peers up from two oblong boxes and leaps onto the floor.,smiles to himself and makes to reappear.,0
7572,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-33560,14350,"In the shower, water pours down an exquisite tattoo of a winged dragon that forms a reverse s curve from her left shoulder down along the side of her ribcage. As she crouches, water","In the shower, water pours down an exquisite tattoo of a winged dragon that forms a reverse s curve from her left shoulder down along the side of her ribcage.","As she crouches, water",gen,"funnel netting over her head, picks up its replica, and on a rubber pick.",bathes the floor as someone rides.,falls from her eye.,begins to splash onto the rocks.,3
58943,anetv_xcBJP14YBvg,3090,A man jumps onto a balance beam. He,A man jumps onto a balance beam.,He,gen,dismounts and lands on the mat.,does his gymnastics routine on the beam.,jumps for his side a quick high jump while he talks.,does a gymnastics routine on a beam.,1
73172,lsmdc1023_Horrible_Bosses-82023,4971,Someone ducks down in his car seat as someone drives past in his suv. Someone,Someone ducks down in his car seat as someone drives past in his suv.,Someone,gen,smashes about someone's car windows and pushes his way back the way.,pulls out the hood and speeds off into the rain.,"touches someone's shoulder, then walks back to the school.","jumps over the horn of an suv, landing in the forest.",1
25891,lsmdc3047_LIFE_OF_PI-22387,10613,"Someone emerges from the shelter with a flashlight in hand. Shining it over the side, he",Someone emerges from the shelter with a flashlight in hand.,"Shining it over the side, he",gen,challenges molding then climbs out.,uses beams to scrub over zebra hawaii.,finds a boy jutting up at the height on the ceiling.,"halts in the light in the spacious room, then groggily lifts it over to his side son.",2
2383,lsmdc0041_The_Sixth_Sense-67951,8001,He turns and gazes at the girl's bedroom. The walls,He turns and gazes at the girl's bedroom.,The walls,gold,"are covered with get - well cards and drawings from family, friends, and school children.",are furnished in a machine.,"flutter down, deep in thought.",level a wash closet floors.,0
47867,anetv_03JdaRepHkA,15318,A woman behind a bar demonstrates how to make mixed alcoholic drinks. She,A woman behind a bar demonstrates how to make mixed alcoholic drinks.,She,gen,continues scanning and showing various ingredients using different bottles.,begins by making lemonade in windblown kitchen then pours a mixed drink from the glass.,begins putting sugar all the drink.,demonstrates plunges to blow the contents from the interior of the glass.,0
21259,lsmdc0012_Get_Shorty-53510,9244,"Someone looks at the Bear, then smiles at someone. Bear","Someone looks at the Bear, then smiles at someone.",Bear,gen,lies naked on the bed.,is sitting on the edge of the church watching them.,smiles up at someone.,"his head against his hand, someone is silent for a moment.",2
65341,lsmdc1061_Harry_Potter_and_the_deathly_hallows_Disk_Two-100111,16369,"Someone beats on a door, and shoots someone. Giant with the two pronged weapons","Someone beats on a door, and shoots someone.",Giant with the two pronged weapons,gen,"are all around him, bent over and down, dead.",shoot out from the gas station.,are airborne.,are held on the paddy field.,0
17733,anetv_0KqeKi2CBqg,8789,She smokes a cigarette on a couch while speaking to a small group of people around her. She,She smokes a cigarette on a couch while speaking to a small group of people around her.,She,gold,speaks to people in a hallway.,turns around the room and sticks the lens all over her body as she plays the phone.,"starts next, then picks them up and puts them down.",turn the car around on the way with when she's done finally rolling out and into a smoke pot.,0
60033,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86627,10851,He comes downstairs and looks through the kitchen window at her outside. She,He comes downstairs and looks through the kitchen window at her outside.,She,gen,keeps kicking.,"is busy in the kitchen, pretending to be injured.",has very tired children on his eyes that keep doorway waiting for him.,leans against the kitchen door.,3
43557,anetv_v5peBgLKWL8,7948,People is walking in snowy mountain and snowboarding. wmoan,People is walking in snowy mountain and snowboarding.,wmoan,gen,sits on the bottom of the river.,flock the mountain in the trees.,are in a hospital for a special day on the water.,go flying from the back of the snowboard.,3
9797,lsmdc3057_ROBIN_HOOD-27977,6545,They arrive at a makeshift village of straw roofs and stick walled huts deep in the forest. She,They arrive at a makeshift village of straw roofs and stick walled huts deep in the forest.,She,gen,looks around as the hooded figures draw closer.,is affluent and dark.,sets up a small cadillac.,shines again through the raging rain.,0
5730,anetv_jmxzDxfSbZM,9770,"Then, the man decorates the Christmas tree with lights while the woman put ornaments on the tree. The woman","Then, the man decorates the Christmas tree with lights while the woman put ornaments on the tree.",The woman,gold,holds a white sheet with three bags at the top and the ornament melts in the tree.,"holds a golden star and put on the christmas tree, after the couple continue putting more ornaments on the tree.",puts a single paint on the sides and put ornaments on the tree and mix the cake ribbon with the tree are sharpened.,put ornaments pink on the christmas tree.,1
62693,lsmdc1010_TITANIC-77175,17609,He turns and looks up at someone who wears a floor length black lace dress. She,He turns and looks up at someone who wears a floor length black lace dress.,She,gold,"wears a pale scarlet dress, a cowboy wig, swells it.",looks up as someone stands alone.,smiles and descends the stairs toward him.,turns to face her.,2
63844,anetv_bFPfj889BhU,10886,People are riding in sail boats on the water. People,People are riding in sail boats on the water.,People,gen,are shown sailing next to the river.,are standing by the yellow rapids of a river.,are rowing a boat with the sail on paddles.,are kayaking through the water.,3
26810,anetv_OsiES8BiRac,6280,The belly dancer spins in circles during the performance. The dancers,The belly dancer spins in circles during the performance.,The dancers,gold,turns with her back to the audience and dances.,crouch down and twirl their ballerina between their hands.,switch to finish the routine.,show ballet inn on the dance floor.,0
